delay,throughput,packet_delay,reward
0,95.76,5.2,0.9693912167694
30,93.36,5.8,0.9265808394558
60,92.96000000000001,14.2,0.7953205326072
90,93.74,21.8,0.7400384617266
120,93.58,35.8,0.6481176279376
150,92.9,61.4,0.5220656306843999
180,91.73999999999998,62.0,0.5273958115256
210,93.17999999999999,71.4,0.4369985042176
240,92.32,64.2,0.47177142143399997
270,91.24,63.0,0.46887865604260004
300,91.56,71.0,0.44542127150399996
